Name,Role,Interest,Years,Degree
Liangming Pan,Doctoral Alumnus (Apr '22),Towards Generating Deep Questions from Text,April 2022,PhD
Samson Tan,Doctoral Alumnus (May '22),Linguistically-Inclusive Natural Language Processing,May 2022,PhD
Saurabh Jain,Masters Alumnus (Dec '21),Comparative Response Generation,December 2021,Masters
Yan Meng,Masters Alumnus (Aug '22),Towards Information-Seeking Follow-up Question Generation,August 2022,Masters
Saumya Ahuja,Masters Alumnus (Spring '20),Concept Evolution in Scientific Literature,Spring 2020,Masters
Bamdad Bahrani,Masters Alumnus (May '13),Slide Information Retrieval,Fall 2011 – May 2013,Masters
Muthu Kumar C,Doctoral Alumnus (May '19),Predicting Instructor Intervention in MOOC forums,Spring 2014 – May 2019,PhD
Tao Chen,Doctoral Alumnus (Apr '16),Image Tweet Analysis,Fall 2010 – April 2016,PhD
Kee Yuan Chuan,Masters Alumnus (May '21),Synthesis of a Large Dataset of Annotated Reference Strings for Developing Citation Parsers,May 2021,Masters
Hang Cui,Doctoral Alumnus (Jul. '06),Generic Soft Patterns for Question Answering,Spring 2003 – July 2006,PhD
Jesse Prabawa Gozali,Doctoral Alumnus (Aug '13),Event Photo Stream Segmentation,Fall 2007 – August 2013,PhD
Kishaloy Halder,Doctoral Alumnus (Nov '19),Automatically Facilitating Discussion in Online Forums,Spring 2015 – November 2019,PhD
Xiangnan He,Doctoral Alumnus (Mar '15),Refining Relevance Signals in Web 2.0,Fall 2011 – March 2015,PhD
Cong Duy Vu Hoang,Masters Alumnus (Feb '11),Automated Related Work Summarization,Spring 2009 – February 2011,Masters
Wenqiang Lei,Doctoral Alumnus (Oct '19),Topic Continuity for Discourse and Dialogue,Spring 2015 – October 2019,PhD
Jovian Lin,Doctoral Alumnus (Sep '14),Recommender Algorithms for Mobile Applications,Fall 2009 – September 2014,PhD
Ziheng Lin,Doctoral Alumnus (Dec '12),Discourse in Automatic Text Summarization,Fall 2007 – December 2012,PhD
Jun Ping Ng,Doctoral Alumnus (Mar '14),Interpreting Time in Text,Spring 2009 – March 2014,PhD
Animesh Prasad,Doctoral Alumnus (Jan '20),Structured Information Extraction for Scientific Documents,Fall 2014 – January 2020,PhD
Long Qiu,Doctoral Alumnus (Feb '09),Scenario Template Creation,Fall 2003 – February 2009,PhD
Hendra Setiawan,Doctoral Alumnus (Apr '09),Head-driven Statistical Machine Translation,Spring 2005 – April 2009,PhD
Yee Fan Tan,Doctoral Alumnus (Nov '11),Cost-Sensitive Web-Based Information Acquisition for Record Matching,Fall 2005 – November 2011,PhD
Aobo Wang,Doctoral Alumnus (Aug '15),Addressing Informality in Chinese Microtext,Fall 2009 – August 2015,PhD
Weixin Wang,Masters Alumnus (Spring '20),Text-To-SQL Parsing,Spring 2020,Masters
Xiang Yuanxin,Masters Alumnus (Spring '17),Verb Duration Determination,Spring 2017,Masters
Chencan Xu,Masters Alumnus (Apr '17),Automatic Moderation of IBIS Forums,Spring 2015 – April 2017,Masters
Xu Ding,Masters Alumnus (Jan '21),Sec-LS: Section-Based Long Summarization for Scientific Documents,January 2021,Masters
Jin Zhao,Doctoral Alumnus (May '13),Towards Generic Domain-specific Information Retrieval,Fall 2006 – May 2013,PhD
Hengchang Hu, Doctoral Alumnus (Oct '24), Going beyond ID-based Recommender Systems by Exploiting External Knowledge, Fall 2019 - October 2024, PhD
Abhinav Ramesh Kashyap, Doctoral Alumnus (Mar '23), Applications of Domain Divergences for Domain Adaptation In NLP, Fall 2018 - March 2023, PhD
